houseguest_id,season,first_name,last_name
1,26,Angela,Murray
2,26,Brooklyn,Rivera
3,26,Cam,Sullivan-Brown
4,26,Cedric,Hodges
5,26,Chelsie,Baham
6,26,Joseph,Rodriguez
7,26,Kenney,Kelley
8,26,Kimo,Apaka
9,26,Leah,Peters
10,26,Lisa,Weintraub
11,26,Makensy,Manbeck
12,26,Matt,Hardeman
13,26,Quinn,Martin
14,26,Rubina,Bernabe
15,26,T'kor,Clottey
16,26,Tucker,Des Lauriers
