"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201510270ATL","2016",2015-10-27,"8:00p","Detroit Pistons","106","Atlanta Hawks","94","Box Score","","19,187","Philips Arena",""
"201510270CHI","2016",2015-10-27,"8:00p","Cleveland Cavaliers","95","Chicago Bulls","97","Box Score","","21,957","United Center",""
"201510270GSW","2016",2015-10-27,"10:30p","New Orleans Pelicans","95","Golden State Warriors","111","Box Score","","19,596","Oracle Arena",""
"201510280BOS","2016",2015-10-28,"7:30p","Philadelphia 76ers","95","Boston Celtics","112","Box Score","","18,624","TD Garden",""
"201510280BRK","2016",2015-10-28,"7:30p","Chicago Bulls","115","Brooklyn Nets","100","Box Score","","17,732","Barclays Center",""
"201510280DET","2016",2015-10-28,"7:30p","Utah Jazz","87","Detroit Pistons","92","Box Score","","18,434","The Palace of Auburn Hills",""
"201510280HOU","2016",2015-10-28,"8:00p","Denver Nuggets","105","Houston Rockets","85","Box Score","","18,240","Toyota Center",""
"201510280LAL","2016",2015-10-28,"10:30p","Minnesota Timberwolves","112","Los Angeles Lakers","111","Box Score","","18,997","STAPLES Center",""
"201510280MEM","2016",2015-10-28,"8:00p","Cleveland Cavaliers","106","Memphis Grizzlies","76","Box Score","","18,119","FedEx Forum",""
"201510280MIA","2016",2015-10-28,"7:30p","Charlotte Hornets","94","Miami Heat","104","Box Score","","19,724","AmericanAirlines Arena",""
"201510280MIL","2016",2015-10-28,"8:00p","New York Knicks","122","Milwaukee Bucks","97","Box Score","","18,717","BMO Harris Bradley Center",""
"201510280OKC","2016",2015-10-28,"8:00p","San Antonio Spurs","106","Oklahoma City Thunder","112","Box Score","","18,203","Chesapeake Energy Arena",""
"201510280ORL","2016",2015-10-28,"7:00p","Washington Wizards","88","Orlando Magic","87","Box Score","","18,846","Amway Center",""
"201510280PHO","2016",2015-10-28,"10:00p","Dallas Mavericks","111","Phoenix Suns","95","Box Score","","18,055","Talking Stick Resort Arena",""
"201510280POR","2016",2015-10-28,"10:00p","New Orleans Pelicans","94","Portland Trail Blazers","112","Box Score","","19,393","Moda Center",""
"201510280SAC","2016",2015-10-28,"10:00p","Los Angeles Clippers","111","Sacramento Kings","104","Box Score","","17,458","Sleep Train Arena",""
"201510280TOR","2016",2015-10-28,"7:30p","Indiana Pacers","99","Toronto Raptors","106","Box Score","","19,800","Air Canada Centre",""
"201510290IND","2016",2015-10-29,"7:00p","Memphis Grizzlies","112","Indiana Pacers","103","Box Score","","18,165","Bankers Life Fieldhouse",""
"201510290LAC","2016",2015-10-29,"10:30p","Dallas Mavericks","88","Los Angeles Clippers","104","Box Score","","19,218","STAPLES Center",""
"201510290NYK","2016",2015-10-29,"8:00p","Atlanta Hawks","112","New York Knicks","101","Box Score","","19,812","Madison Square Garden (IV)",""
"201510300ATL","2016",2015-10-30,"8:00p","Charlotte Hornets","94","Atlanta Hawks","97","Box Score","","17,024","Philips Arena",""
"201510300BOS","2016",2015-10-30,"7:30p","Toronto Raptors","113","Boston Celtics","103","Box Score","","16,898","TD Garden",""
"201510300CLE","2016",2015-10-30,"7:00p","Miami Heat","92","Cleveland Cavaliers","102","Box Score","","20,562","Quicken Loans Arena",""
"201510300DEN","2016",2015-10-30,"9:00p","Minnesota Timberwolves","95","Denver Nuggets","78","Box Score","","17,660","Pepsi Center",""
"201510300DET","2016",2015-10-30,"7:30p","Chicago Bulls","94","Detroit Pistons","98","Box Score","OT","16,035","The Palace of Auburn Hills",""
"201510300HOU","2016",2015-10-30,"9:30p","Golden State Warriors","112","Houston Rockets","92","Box Score","","18,142","Toyota Center",""
