"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201810160BOS","2019",2018-10-16,"8:00p","Philadelphia 76ers","87","Boston Celtics","105","Box Score","","18,624","TD Garden",""
"201810160GSW","2019",2018-10-16,"10:30p","Oklahoma City Thunder","100","Golden State Warriors","108","Box Score","","19,596","Oracle Arena",""
"201810170CHO","2019",2018-10-17,"7:00p","Milwaukee Bucks","113","Charlotte Hornets","112","Box Score","","17,889","Spectrum Center",""
"201810170DET","2019",2018-10-17,"7:00p","Brooklyn Nets","100","Detroit Pistons","103","Box Score","","20,332","Little Caesars Arena",""
"201810170HOU","2019",2018-10-17,"8:00p","New Orleans Pelicans","131","Houston Rockets","112","Box Score","","18,055","Toyota Center",""
"201810170IND","2019",2018-10-17,"7:00p","Memphis Grizzlies","83","Indiana Pacers","111","Box Score","","17,923","Bankers Life Fieldhouse",""
"201810170LAC","2019",2018-10-17,"10:30p","Denver Nuggets","107","Los Angeles Clippers","98","Box Score","","19,068","STAPLES Center",""
"201810170NYK","2019",2018-10-17,"7:30p","Atlanta Hawks","107","New York Knicks","126","Box Score","","18,249","Madison Square Garden (IV)",""
"201810170ORL","2019",2018-10-17,"7:00p","Miami Heat","101","Orlando Magic","104","Box Score","","19,191","Amway Center",""
"201810170PHO","2019",2018-10-17,"10:30p","Dallas Mavericks","100","Phoenix Suns","121","Box Score","","18,055","Talking Stick Resort Arena",""
"201810170SAC","2019",2018-10-17,"10:00p","Utah Jazz","123","Sacramento Kings","117","Box Score","","17,583","Golden 1 Center",""
"201810170SAS","2019",2018-10-17,"8:30p","Minnesota Timberwolves","108","San Antonio Spurs","112","Box Score","","18,354","AT&T Center",""
"201810170TOR","2019",2018-10-17,"7:30p","Cleveland Cavaliers","104","Toronto Raptors","116","Box Score","","19,915","Scotiabank Arena",""
"201810180PHI","2019",2018-10-18,"8:00p","Chicago Bulls","108","Philadelphia 76ers","127","Box Score","","20,302","Wells Fargo Center",""
"201810180POR","2019",2018-10-18,"10:30p","Los Angeles Lakers","119","Portland Trail Blazers","128","Box Score","","19,996","Moda Center",""
"201810180WAS","2019",2018-10-18,"8:00p","Miami Heat","113","Washington Wizards","112","Box Score","","20,409","Capital One Arena",""
"201810190BRK","2019",2018-10-19,"7:30p","New York Knicks","105","Brooklyn Nets","107","Box Score","","17,732","Barclays Center",""
"201810190LAC","2019",2018-10-19,"10:30p","Oklahoma City Thunder","92","Los Angeles Clippers","108","Box Score","","14,816","STAPLES Center",""
"201810190MEM","2019",2018-10-19,"8:00p","Atlanta Hawks","117","Memphis Grizzlies","131","Box Score","","17,019","FedEx Forum",""
"201810190MIL","2019",2018-10-19,"8:30p","Indiana Pacers","101","Milwaukee Bucks","118","Box Score","","17,341","Fiserv Forum",""
"201810190MIN","2019",2018-10-19,"8:00p","Cleveland Cavaliers","123","Minnesota Timberwolves","131","Box Score","","18,978","Target Center",""
"201810190NOP","2019",2018-10-19,"8:00p","Sacramento Kings","129","New Orleans Pelicans","149","Box Score","","18,337","Smoothie King Center",""
"201810190ORL","2019",2018-10-19,"7:00p","Charlotte Hornets","120","Orlando Magic","88","Box Score","","17,668","Amway Center",""
"201810190TOR","2019",2018-10-19,"8:00p","Boston Celtics","101","Toronto Raptors","113","Box Score","","19,800","Scotiabank Arena",""
"201810190UTA","2019",2018-10-19,"10:30p","Golden State Warriors","124","Utah Jazz","123","Box Score","","18,306","Vivint Smart Home Arena",""
"201810200CHI","2019",2018-10-20,"8:00p","Detroit Pistons","118","Chicago Bulls","116","Box Score","","21,289","United Center",""
"201810200DAL","2019",2018-10-20,"8:30p","Minnesota Timberwolves","136","Dallas Mavericks","140","Box Score","","20,205","American Airlines Center",""
"201810200DEN","2019",2018-10-20,"9:00p","Phoenix Suns","91","Denver Nuggets","119","Box Score","","19,592","Pepsi Center",""
"201810200IND","2019",2018-10-20,"7:00p","Brooklyn Nets","112","Indiana Pacers","132","Box Score","","17,007","Bankers Life Fieldhouse",""
"201810200LAL","2019",2018-10-20,"10:30p","Houston Rockets","124","Los Angeles Lakers","115","Box Score","","18,997","STAPLES Center",""
"201810200MIA","2019",2018-10-20,"8:00p","Charlotte Hornets","113","Miami Heat","112","Box Score","","19,600","AmericanAirlines Arena",""
"201810200NYK","2019",2018-10-20,"7:30p","Boston Celtics","103","New York Knicks","101","Box Score","","19,427","Madison Square Garden (IV)",""
"201810200PHI","2019",2018-10-20,"7:30p","Orlando Magic","115","Philadelphia 76ers","116","Box Score","","20,300","Wells Fargo Center",""
"201810200POR","2019",2018-10-20,"10:00p","San Antonio Spurs","108","Portland Trail Blazers","121","Box Score","","19,461","Moda Center",""
"201810200WAS","2019",2018-10-20,"7:00p","Toronto Raptors","117","Washington Wizards","113","Box Score","","16,185","Capital One Arena",""
"201810210CLE","2019",2018-10-21,"6:00p","Atlanta Hawks","133","Cleveland Cavaliers","111","Box Score","","19,432","Quicken Loans Arena",""
"201810210DEN","2019",2018-10-21,"8:00p","Golden State Warriors","98","Denver Nuggets","100","Box Score","","19,520","Pepsi Center",""
"201810210LAC","2019",2018-10-21,"9:00p","Houston Rockets","112","Los Angeles Clippers","115","Box Score","","16,149","STAPLES Center",""
"201810210OKC","2019",2018-10-21,"7:00p","Sacramento Kings","131","Oklahoma City Thunder","120","Box Score","","18,203","Chesapeake Energy Arena",""
"201810220BOS","2019",2018-10-22,"7:30p","Orlando Magic","93","Boston Celtics","90","Box Score","","18,624","TD Garden",""
"201810220DAL","2019",2018-10-22,"8:30p","Chicago Bulls","109","Dallas Mavericks","115","Box Score","","19,291","American Airlines Center",""
"201810220GSW","2019",2018-10-22,"10:30p","Phoenix Suns","103","Golden State Warriors","123","Box Score","","19,596","Oracle Arena",""
"201810220LAL","2019",2018-10-22,"10:30p","San Antonio Spurs","143","Los Angeles Lakers","142","Box Score","OT","18,997","STAPLES Center",""
"201810220MIL","2019",2018-10-22,"8:00p","New York Knicks","113","Milwaukee Bucks","124","Box Score","","16,228","Fiserv Forum",""
"201810220MIN","2019",2018-10-22,"8:00p","Indiana Pacers","91","Minnesota Timberwolves","101","Box Score","","10,371","Target Center",""
