"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201112250DAL","2012",2011-12-25,"2:30p","Miami Heat","105","Dallas Mavericks","94","Box Score","","20,421","American Airlines Center",""
"201112250GSW","2012",2011-12-25,"10:30p","Los Angeles Clippers","105","Golden State Warriors","86","Box Score","","19,596","Oracle Arena",""
"201112250LAL","2012",2011-12-25,"5:00p","Chicago Bulls","88","Los Angeles Lakers","87","Box Score","","18,997","STAPLES Center",""
"201112250NYK","2012",2011-12-25,"12:00p","Boston Celtics","104","New York Knicks","106","Box Score","","19,763","Madison Square Garden (IV)",""
"201112250OKC","2012",2011-12-25,"8:00p","Orlando Magic","89","Oklahoma City Thunder","97","Box Score","","18,203","Chesapeake Energy Arena",""
"201112260CHA","2012",2011-12-26,"7:00p","Milwaukee Bucks","95","Charlotte Bobcats","96","Box Score","","17,173","Time Warner Cable Arena",""
"201112260CLE","2012",2011-12-26,"7:00p","Toronto Raptors","104","Cleveland Cavaliers","96","Box Score","","20,562","Quicken Loans Arena",""
"201112260DAL","2012",2011-12-26,"8:30p","Denver Nuggets","115","Dallas Mavericks","93","Box Score","","20,408","American Airlines Center",""
"201112260GSW","2012",2011-12-26,"10:30p","Chicago Bulls","91","Golden State Warriors","99","Box Score","","19,596","Oracle Arena",""
"201112260IND","2012",2011-12-26,"7:00p","Detroit Pistons","79","Indiana Pacers","91","Box Score","","18,165","Bankers Life Fieldhouse",""
"201112260MIN","2012",2011-12-26,"8:00p","Oklahoma City Thunder","104","Minnesota Timberwolves","100","Box Score","","19,406","Target Center",""
"201112260ORL","2012",2011-12-26,"7:00p","Houston Rockets","95","Orlando Magic","104","Box Score","","18,846","Amway Center",""
"201112260PHO","2012",2011-12-26,"9:00p","New Orleans Hornets","85","Phoenix Suns","84","Box Score","","17,776","US Airways Center",""
"201112260POR","2012",2011-12-26,"10:00p","Philadelphia 76ers","103","Portland Trail Blazers","107","Box Score","","20,509","Rose Garden Arena",""
"201112260SAC","2012",2011-12-26,"10:00p","Los Angeles Lakers","91","Sacramento Kings","100","Box Score","","17,317","Power Balance Pavilion",""
"201112260SAS","2012",2011-12-26,"8:30p","Memphis Grizzlies","82","San Antonio Spurs","95","Box Score","","18,581","AT&T Center",""
"201112260WAS","2012",2011-12-26,"7:00p","New Jersey Nets","90","Washington Wizards","84","Box Score","","17,102","Verizon Center",""
"201112270LAL","2012",2011-12-27,"10:30p","Utah Jazz","71","Los Angeles Lakers","96","Box Score","","18,997","STAPLES Center",""
"201112270MIA","2012",2011-12-27,"8:00p","Boston Celtics","107","Miami Heat","115","Box Score","","20,166","AmericanAirlines Arena",""
"201112270MIL","2012",2011-12-27,"8:30p","Minnesota Timberwolves","95","Milwaukee Bucks","98","Box Score","","17,352","Bradley Center",""
"201112270NJN","2012",2011-12-27,"7:30p","Atlanta Hawks","106","New Jersey Nets","70","Box Score","","18,711","Prudential Center",""
"201112270POR","2012",2011-12-27,"10:00p","Sacramento Kings","79","Portland Trail Blazers","101","Box Score","","20,350","Rose Garden Arena",""
"201112280ATL","2012",2011-12-28,"7:30p","Washington Wizards","83","Atlanta Hawks","101","Box Score","","17,750","Philips Arena",""
"201112280CHA","2012",2011-12-28,"7:00p","Miami Heat","96","Charlotte Bobcats","95","Box Score","","19,614","Time Warner Cable Arena",""
"201112280DEN","2012",2011-12-28,"9:00p","Utah Jazz","100","Denver Nuggets","117","Box Score","","19,155","Pepsi Center",""
