"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201310290IND","2014",2013-10-29,"7:00p","Orlando Magic","87","Indiana Pacers","97","Box Score","","18,165","Bankers Life Fieldhouse",""
"201310290LAL","2014",2013-10-29,"10:30p","Los Angeles Clippers","103","Los Angeles Lakers","116","Box Score","","18,997","STAPLES Center",""
"201310290MIA","2014",2013-10-29,"8:00p","Chicago Bulls","95","Miami Heat","107","Box Score","","19,964","AmericanAirlines Arena",""
"201310300CLE","2014",2013-10-30,"7:00p","Brooklyn Nets","94","Cleveland Cavaliers","98","Box Score","","20,562","Quicken Loans Arena",""
"201310300DAL","2014",2013-10-30,"8:30p","Atlanta Hawks","109","Dallas Mavericks","118","Box Score","","19,834","American Airlines Center",""
"201310300DET","2014",2013-10-30,"7:30p","Washington Wizards","102","Detroit Pistons","113","Box Score","","19,258","The Palace of Auburn Hills",""
"201310300GSW","2014",2013-10-30,"10:30p","Los Angeles Lakers","94","Golden State Warriors","125","Box Score","","19,596","Oracle Arena",""
"201310300HOU","2014",2013-10-30,"8:00p","Charlotte Bobcats","83","Houston Rockets","96","Box Score","","18,083","Toyota Center",""
"201310300MIN","2014",2013-10-30,"8:00p","Orlando Magic","115","Minnesota Timberwolves","120","Box Score","OT","17,988","Target Center",""
"201310300NOP","2014",2013-10-30,"8:00p","Indiana Pacers","95","New Orleans Pelicans","90","Box Score","","17,803","Smoothie King Center",""
"201310300NYK","2014",2013-10-30,"7:30p","Milwaukee Bucks","83","New York Knicks","90","Box Score","","19,812","Madison Square Garden (IV)",""
"201310300PHI","2014",2013-10-30,"7:00p","Miami Heat","110","Philadelphia 76ers","114","Box Score","","19,523","Wells Fargo Center",""
"201310300PHO","2014",2013-10-30,"10:00p","Portland Trail Blazers","91","Phoenix Suns","104","Box Score","","17,208","US Airways Center",""
"201310300SAC","2014",2013-10-30,"10:00p","Denver Nuggets","88","Sacramento Kings","90","Box Score","","17,317","Sleep Train Arena",""
"201310300SAS","2014",2013-10-30,"8:30p","Memphis Grizzlies","94","San Antonio Spurs","101","Box Score","","18,581","AT&T Center",""
"201310300TOR","2014",2013-10-30,"7:00p","Boston Celtics","87","Toronto Raptors","93","Box Score","","20,155","Air Canada Centre",""
"201310300UTA","2014",2013-10-30,"9:00p","Oklahoma City Thunder","101","Utah Jazz","98","Box Score","","19,911","EnergySolutions Arena",""
"201310310CHI","2014",2013-10-31,"8:00p","New York Knicks","81","Chicago Bulls","82","Box Score","","22,022","United Center",""
"201310310LAC","2014",2013-10-31,"10:30p","Golden State Warriors","115","Los Angeles Clippers","126","Box Score","","19,060","STAPLES Center",""
"201311010ATL","2014",2013-11-01,"7:30p","Toronto Raptors","95","Atlanta Hawks","102","Box Score","","18,118","Philips Arena",""
"201311010BOS","2014",2013-11-01,"7:30p","Milwaukee Bucks","105","Boston Celtics","98","Box Score","","18,624","TD Garden",""
"201311010BRK","2014",2013-11-01,"8:00p","Miami Heat","100","Brooklyn Nets","101","Box Score","","17,732","Barclays Center",""
"201311010CHA","2014",2013-11-01,"7:00p","Cleveland Cavaliers","84","Charlotte Bobcats","90","Box Score","","18,017","Time Warner Cable Arena",""
"201311010DEN","2014",2013-11-01,"9:00p","Portland Trail Blazers","113","Denver Nuggets","98","Box Score","","19,155","Pepsi Center",""
"201311010HOU","2014",2013-11-01,"8:00p","Dallas Mavericks","105","Houston Rockets","113","Box Score","","18,142","Toyota Center",""
"201311010LAL","2014",2013-11-01,"10:30p","San Antonio Spurs","91","Los Angeles Lakers","85","Box Score","","18,997","STAPLES Center",""
"201311010MEM","2014",2013-11-01,"8:00p","Detroit Pistons","108","Memphis Grizzlies","111","Box Score","OT","18,119","FedEx Forum",""
"201311010MIN","2014",2013-11-01,"8:00p","Oklahoma City Thunder","81","Minnesota Timberwolves","100","Box Score","","17,433","Target Center",""
"201311010ORL","2014",2013-11-01,"7:00p","New Orleans Pelicans","90","Orlando Magic","110","Box Score","","18,846","Amway Center",""
"201311010PHO","2014",2013-11-01,"10:00p","Utah Jazz","84","Phoenix Suns","87","Box Score","","14,662","US Airways Center",""
"201311010SAC","2014",2013-11-01,"10:00p","Los Angeles Clippers","110","Sacramento Kings","101","Box Score","","17,317","Sleep Train Arena",""
"201311010WAS","2014",2013-11-01,"7:00p","Philadelphia 76ers","109","Washington Wizards","102","Box Score","","17,160","Verizon Center",""
"201311020DAL","2014",2013-11-02,"8:30p","Memphis Grizzlies","99","Dallas Mavericks","111","Box Score","","20,262","American Airlines Center",""
"201311020GSW","2014",2013-11-02,"10:30p","Sacramento Kings","87","Golden State Warriors","98","Box Score","","19,596","Oracle Arena",""
"201311020IND","2014",2013-11-02,"7:00p","Cleveland Cavaliers","74","Indiana Pacers","89","Box Score","","16,242","Bankers Life Fieldhouse",""
"201311020MIL","2014",2013-11-02,"8:30p","Toronto Raptors","97","Milwaukee Bucks","90","Box Score","","16,046","BMO Harris Bradley Center",""
"201311020NOP","2014",2013-11-02,"8:00p","Charlotte Bobcats","84","New Orleans Pelicans","105","Box Score","","15,232","Smoothie King Center",""
"201311020PHI","2014",2013-11-02,"7:30p","Chicago Bulls","104","Philadelphia 76ers","107","Box Score","","15,782","Wells Fargo Center",""
"201311020POR","2014",2013-11-02,"10:00p","San Antonio Spurs","105","Portland Trail Blazers","115","Box Score","","20,028","Moda Center",""
"201311020UTA","2014",2013-11-02,"9:00p","Houston Rockets","104","Utah Jazz","93","Box Score","","19,498","EnergySolutions Arena",""
"201311030DET","2014",2013-11-03,"6:00p","Boston Celtics","77","Detroit Pistons","87","Box Score","","14,978","The Palace of Auburn Hills",""
"201311030LAL","2014",2013-11-03,"9:30p","Atlanta Hawks","103","Los Angeles Lakers","105","Box Score","","18,997","STAPLES Center",""
"201311030MIA","2014",2013-11-03,"6:00p","Washington Wizards","93","Miami Heat","103","Box Score","","19,600","AmericanAirlines Arena",""
"201311030NYK","2014",2013-11-03,"7:30p","Minnesota Timberwolves","109","New York Knicks","100","Box Score","","19,812","Madison Square Garden (IV)",""
"201311030OKC","2014",2013-11-03,"7:00p","Phoenix Suns","96","Oklahoma City Thunder","103","Box Score","","18,203","Chesapeake Energy Arena",""
"201311030ORL","2014",2013-11-03,"6:00p","Brooklyn Nets","86","Orlando Magic","107","Box Score","","15,297","Amway Center",""
"201311040CLE","2014",2013-11-04,"7:00p","Minnesota Timberwolves","92","Cleveland Cavaliers","93","Box Score","","17,892","Quicken Loans Arena",""
"201311040LAC","2014",2013-11-04,"10:30p","Houston Rockets","118","Los Angeles Clippers","137","Box Score","","19,404","STAPLES Center",""
"201311040MEM","2014",2013-11-04,"8:00p","Boston Celtics","88","Memphis Grizzlies","95","Box Score","","15,872","FedEx Forum",""
"201311040PHI","2014",2013-11-04,"7:00p","Golden State Warriors","110","Philadelphia 76ers","90","Box Score","","11,089","Wells Fargo Center",""
"201311050BRK","2014",2013-11-05,"7:30p","Utah Jazz","88","Brooklyn Nets","104","Box Score","","17,732","Barclays Center",""
"201311050DAL","2014",2013-11-05,"8:30p","Los Angeles Lakers","104","Dallas Mavericks","123","Box Score","","19,670","American Airlines Center",""
"201311050DEN","2014",2013-11-05,"9:00p","San Antonio Spurs","102","Denver Nuggets","94","Box Score","","15,721","Pepsi Center",""
"201311050DET","2014",2013-11-05,"7:30p","Indiana Pacers","99","Detroit Pistons","91","Box Score","","13,401","The Palace of Auburn Hills",""
"201311050NOP","2014",2013-11-05,"8:00p","Phoenix Suns","104","New Orleans Pelicans","98","Box Score","","13,404","Smoothie King Center",""
"201311050NYK","2014",2013-11-05,"7:30p","Charlotte Bobcats","102","New York Knicks","97","Box Score","","19,812","Madison Square Garden (IV)",""
"201311050POR","2014",2013-11-05,"10:00p","Houston Rockets","116","Portland Trail Blazers","101","Box Score","","17,491","Moda Center",""
"201311050SAC","2014",2013-11-05,"10:00p","Atlanta Hawks","105","Sacramento Kings","100","Box Score","","13,506","Sleep Train Arena",""
"201311050TOR","2014",2013-11-05,"7:00p","Miami Heat","104","Toronto Raptors","95","Box Score","","18,470","Air Canada Centre",""
"201311060BOS","2014",2013-11-06,"7:30p","Utah Jazz","87","Boston Celtics","97","Box Score","","17,130","TD Garden",""
"201311060CHA","2014",2013-11-06,"7:00p","Toronto Raptors","90","Charlotte Bobcats","92","Box Score","","11,118","Time Warner Cable Arena",""
"201311060IND","2014",2013-11-06,"7:00p","Chicago Bulls","80","Indiana Pacers","97","Box Score","","18,165","Bankers Life Fieldhouse",""
"201311060MEM","2014",2013-11-06,"8:00p","New Orleans Pelicans","99","Memphis Grizzlies","84","Box Score","","15,209","FedEx Forum",""
"201311060MIL","2014",2013-11-06,"8:00p","Cleveland Cavaliers","104","Milwaukee Bucks","109","Box Score","","14,340","BMO Harris Bradley Center",""
"201311060MIN","2014",2013-11-06,"8:00p","Golden State Warriors","106","Minnesota Timberwolves","93","Box Score","","15,559","Target Center",""
"201311060OKC","2014",2013-11-06,"9:30p","Dallas Mavericks","93","Oklahoma City Thunder","107","Box Score","","18,203","Chesapeake Energy Arena",""
"201311060ORL","2014",2013-11-06,"7:00p","Los Angeles Clippers","90","Orlando Magic","98","Box Score","","15,807","Amway Center",""
"201311060PHI","2014",2013-11-06,"7:00p","Washington Wizards","116","Philadelphia 76ers","102","Box Score","","10,117","Wells Fargo Center",""
"201311060SAS","2014",2013-11-06,"8:30p","Phoenix Suns","96","San Antonio Spurs","99","Box Score","","17,870","AT&T Center",""
"201311070DEN","2014",2013-11-07,"9:00p","Atlanta Hawks","107","Denver Nuggets","109","Box Score","","15,404","Pepsi Center",""
"201311070HOU","2014",2013-11-07,"9:30p","Los Angeles Lakers","99","Houston Rockets","98","Box Score","","18,133","Toyota Center",""
"201311070MIA","2014",2013-11-07,"7:00p","Los Angeles Clippers","97","Miami Heat","102","Box Score","","19,600","AmericanAirlines Arena",""
"201311080CHA","2014",2013-11-08,"7:00p","New York Knicks","101","Charlotte Bobcats","91","Box Score","","16,465","Time Warner Cable Arena",""
"201311080CHI","2014",2013-11-08,"8:00p","Utah Jazz","73","Chicago Bulls","97","Box Score","","21,946","United Center",""
"201311080DET","2014",2013-11-08,"7:30p","Oklahoma City Thunder","119","Detroit Pistons","110","Box Score","","15,624","The Palace of Auburn Hills",""
"201311080IND","2014",2013-11-08,"7:00p","Toronto Raptors","84","Indiana Pacers","91","Box Score","","13,316","Bankers Life Fieldhouse",""
"201311080MIN","2014",2013-11-08,"8:00p","Dallas Mavericks","108","Minnesota Timberwolves","116","Box Score","","13,677","Target Center",""
"201311080NOP","2014",2013-11-08,"8:00p","Los Angeles Lakers","85","New Orleans Pelicans","96","Box Score","","18,209","Smoothie King Center",""
"201311080ORL","2014",2013-11-08,"7:00p","Boston Celtics","91","Orlando Magic","89","Box Score","","17,555","Amway Center",""
"201311080PHI","2014",2013-11-08,"7:00p","Cleveland Cavaliers","79","Philadelphia 76ers","94","Box Score","","15,219","Wells Fargo Center",""
"201311080PHO","2014",2013-11-08,"9:00p","Denver Nuggets","103","Phoenix Suns","114","Box Score","","15,145","US Airways Center",""
"201311080POR","2014",2013-11-08,"10:00p","Sacramento Kings","91","Portland Trail Blazers","104","Box Score","","17,627","Moda Center",""
"201311080SAS","2014",2013-11-08,"8:30p","Golden State Warriors","74","San Antonio Spurs","76","Box Score","","18,581","AT&T Center",""
"201311080WAS","2014",2013-11-08,"7:00p","Brooklyn Nets","108","Washington Wizards","112","Box Score","OT","17,215","Verizon Center",""
"201311090ATL","2014",2013-11-09,"7:30p","Orlando Magic","94","Atlanta Hawks","104","Box Score","","15,189","Philips Arena",""
"201311090BRK","2014",2013-11-09,"7:30p","Indiana Pacers","96","Brooklyn Nets","91","Box Score","","17,732","Barclays Center",""
"201311090CLE","2014",2013-11-09,"7:30p","Philadelphia 76ers","125","Cleveland Cavaliers","127","Box Score","2OT","20,562","Quicken Loans Arena",""
"201311090HOU","2014",2013-11-09,"8:00p","Los Angeles Clippers","107","Houston Rockets","94","Box Score","","18,108","Toyota Center",""
"201311090MEM","2014",2013-11-09,"8:00p","Golden State Warriors","90","Memphis Grizzlies","108","Box Score","","16,989","FedEx Forum",""
"201311090MIA","2014",2013-11-09,"7:30p","Boston Celtics","111","Miami Heat","110","Box Score","","19,710","AmericanAirlines Arena",""
"201311090MIL","2014",2013-11-09,"8:30p","Dallas Mavericks","91","Milwaukee Bucks","83","Box Score","","16,448","BMO Harris Bradley Center",""
"201311090SAC","2014",2013-11-09,"10:00p","Portland Trail Blazers","96","Sacramento Kings","85","Box Score","","15,482","Sleep Train Arena",""
"201311090TOR","2014",2013-11-09,"7:00p","Utah Jazz","91","Toronto Raptors","115","Box Score","","17,211","Air Canada Centre",""
"201311100LAL","2014",2013-11-10,"9:30p","Minnesota Timberwolves","113","Los Angeles Lakers","90","Box Score","","18,997","STAPLES Center",""
"201311100NYK","2014",2013-11-10,"12:00p","San Antonio Spurs","120","New York Knicks","89","Box Score","","19,812","Madison Square Garden (IV)",""
"201311100OKC","2014",2013-11-10,"7:00p","Washington Wizards","105","Oklahoma City Thunder","106","Box Score","OT","18,203","Chesapeake Energy Arena",""
"201311100PHO","2014",2013-11-10,"8:00p","New Orleans Pelicans","94","Phoenix Suns","101","Box Score","","13,154","US Airways Center",""
"201311110BOS","2014",2013-11-11,"7:30p","Orlando Magic","105","Boston Celtics","120","Box Score","","18,624","TD Garden",""
"201311110CHA","2014",2013-11-11,"7:00p","Atlanta Hawks","103","Charlotte Bobcats","94","Box Score","","13,996","Time Warner Cable Arena",""
"201311110CHI","2014",2013-11-11,"8:00p","Cleveland Cavaliers","81","Chicago Bulls","96","Box Score","","21,778","United Center",""
"201311110HOU","2014",2013-11-11,"8:00p","Toronto Raptors","104","Houston Rockets","110","Box Score","2OT","18,134","Toyota Center",""
"201311110IND","2014",2013-11-11,"7:00p","Memphis Grizzlies","79","Indiana Pacers","95","Box Score","","13,130","Bankers Life Fieldhouse",""
"201311110LAC","2014",2013-11-11,"10:30p","Minnesota Timberwolves","107","Los Angeles Clippers","109","Box Score","","19,060","STAPLES Center",""
"201311110PHI","2014",2013-11-11,"7:00p","San Antonio Spurs","109","Philadelphia 76ers","85","Box Score","","12,424","Wells Fargo Center",""
"201311110POR","2014",2013-11-11,"10:00p","Detroit Pistons","103","Portland Trail Blazers","109","Box Score","","18,834","Moda Center",""
"201311110UTA","2014",2013-11-11,"9:00p","Denver Nuggets","100","Utah Jazz","81","Box Score","","16,866","EnergySolutions Arena",""
"201311120DAL","2014",2013-11-12,"8:30p","Washington Wizards","95","Dallas Mavericks","105","Box Score","","19,627","American Airlines Center",""
"201311120GSW","2014",2013-11-12,"10:30p","Detroit Pistons","95","Golden State Warriors","113","Box Score","","19,596","Oracle Arena",""
"201311120LAL","2014",2013-11-12,"10:30p","New Orleans Pelicans","95","Los Angeles Lakers","116","Box Score","","18,426","STAPLES Center",""
"201311120MIA","2014",2013-11-12,"7:30p","Milwaukee Bucks","95","Miami Heat","118","Box Score","","19,600","AmericanAirlines Arena",""
"201311130ATL","2014",2013-11-13,"8:00p","New York Knicks","95","Atlanta Hawks","91","Box Score","","15,057","Philips Arena",""
"201311130BOS","2014",2013-11-13,"7:30p","Charlotte Bobcats","89","Boston Celtics","83","Box Score","","17,032","TD Garden",""
"201311130DEN","2014",2013-11-13,"9:00p","Los Angeles Lakers","99","Denver Nuggets","111","Box Score","","17,824","Pepsi Center",""
"201311130LAC","2014",2013-11-13,"10:30p","Oklahoma City Thunder","103","Los Angeles Clippers","111","Box Score","","19,273","STAPLES Center",""
"201311130MEM","2014",2013-11-13,"8:00p","Toronto Raptors","103","Memphis Grizzlies","87","Box Score","","15,971","FedEx Forum",""
"201311130MIN","2014",2013-11-13,"8:00p","Cleveland Cavaliers","95","Minnesota Timberwolves","124","Box Score","","14,978","Target Center",""
"201311130ORL","2014",2013-11-13,"7:00p","Milwaukee Bucks","91","Orlando Magic","94","Box Score","","13,588","Amway Center",""
"201311130PHI","2014",2013-11-13,"7:00p","Houston Rockets","117","Philadelphia 76ers","123","Box Score","OT","11,671","Wells Fargo Center",""
"201311130POR","2014",2013-11-13,"10:00p","Phoenix Suns","89","Portland Trail Blazers","90","Box Score","","19,537","Moda Center",""
"201311130SAC","2014",2013-11-13,"10:00p","Brooklyn Nets","86","Sacramento Kings","107","Box Score","","15,122","Sleep Train Arena",""
"201311130SAS","2014",2013-11-13,"8:30p","Washington Wizards","79","San Antonio Spurs","92","Box Score","","18,581","AT&T Center",""
"201311130UTA","2014",2013-11-13,"9:00p","New Orleans Pelicans","105","Utah Jazz","111","Box Score","","16,717","EnergySolutions Arena",""
"201311140GSW","2014",2013-11-14,"10:30p","Oklahoma City Thunder","115","Golden State Warriors","116","Box Score","","19,596","Oracle Arena",""
"201311140NYK","2014",2013-11-14,"8:00p","Houston Rockets","109","New York Knicks","106","Box Score","","19,812","Madison Square Garden (IV)",""
"201311150ATL","2014",2013-11-15,"7:30p","Philadelphia 76ers","103","Atlanta Hawks","113","Box Score","","12,070","Philips Arena",""
"201311150BOS","2014",2013-11-15,"7:30p","Portland Trail Blazers","109","Boston Celtics","96","Box Score","","18,624","TD Garden",""
"201311150CLE","2014",2013-11-15,"7:30p","Charlotte Bobcats","86","Cleveland Cavaliers","80","Box Score","","18,679","Quicken Loans Arena",""
"201311150DEN","2014",2013-11-15,"8:00p","Minnesota Timberwolves","113","Denver Nuggets","117","Box Score","","17,142","Pepsi Center",""
"201311150IND","2014",2013-11-15,"7:00p","Milwaukee Bucks","77","Indiana Pacers","104","Box Score","","16,202","Bankers Life Fieldhouse",""
"201311150LAL","2014",2013-11-15,"10:30p","Memphis Grizzlies","89","Los Angeles Lakers","86","Box Score","","18,997","STAPLES Center",""
"201311150MIA","2014",2013-11-15,"7:30p","Dallas Mavericks","104","Miami Heat","110","Box Score","","19,772","AmericanAirlines Arena",""
"201311150PHO","2014",2013-11-15,"9:00p","Brooklyn Nets","100","Phoenix Suns","98","Box Score","OT","15,984","US Airways Center",""
"201311150SAC","2014",2013-11-15,"10:30p","Detroit Pistons","97","Sacramento Kings","90","Box Score","","17,317","Sleep Train Arena",""
"201311150TOR","2014",2013-11-15,"7:00p","Chicago Bulls","96","Toronto Raptors","80","Box Score","","19,800","Air Canada Centre",""
"201311150UTA","2014",2013-11-15,"9:00p","San Antonio Spurs","91","Utah Jazz","82","Box Score","","17,530","EnergySolutions Arena",""
"201311160CHA","2014",2013-11-16,"7:00p","Miami Heat","97","Charlotte Bobcats","81","Box Score","","19,084","Time Warner Cable Arena",""
"201311160CHI","2014",2013-11-16,"8:00p","Indiana Pacers","94","Chicago Bulls","110","Box Score","","22,158","United Center",""
"201311160GSW","2014",2013-11-16,"10:30p","Utah Jazz","88","Golden State Warriors","102","Box Score","","19,596","Oracle Arena",""
"201311160HOU","2014",2013-11-16,"8:00p","Denver Nuggets","111","Houston Rockets","122","Box Score","","18,147","Toyota Center",""
"201311160LAC","2014",2013-11-16,"10:30p","Brooklyn Nets","103","Los Angeles Clippers","110","Box Score","","19,349","STAPLES Center",""
"201311160MIL","2014",2013-11-16,"8:30p","Oklahoma City Thunder","92","Milwaukee Bucks","79","Box Score","","15,984","BMO Harris Bradley Center",""
"201311160MIN","2014",2013-11-16,"8:00p","Boston Celtics","88","Minnesota Timberwolves","106","Box Score","","15,111","Target Center",""
"201311160NOP","2014",2013-11-16,"8:00p","Philadelphia 76ers","98","New Orleans Pelicans","135","Box Score","","16,659","Smoothie King Center",""
"201311160NYK","2014",2013-11-16,"7:30p","Atlanta Hawks","110","New York Knicks","90","Box Score","","19,812","Madison Square Garden (IV)",""
"201311160ORL","2014",2013-11-16,"7:00p","Dallas Mavericks","108","Orlando Magic","100","Box Score","","15,039","Amway Center",""
"201311160WAS","2014",2013-11-16,"7:00p","Cleveland Cavaliers","103","Washington Wizards","96","Box Score","OT","18,038","Verizon Center",""
"201311170LAL","2014",2013-11-17,"9:30p","Detroit Pistons","99","Los Angeles Lakers","114","Box Score","","18,997","STAPLES Center",""
"201311170SAC","2014",2013-11-17,"6:00p","Memphis Grizzlies","97","Sacramento Kings","86","Box Score","","15,630","Sleep Train Arena",""
