"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201910220LAC","2020",2019-10-22,"10:30p","Los Angeles Lakers","102","Los Angeles Clippers","112","Box Score","","19,068","STAPLES Center",""
"201910220TOR","2020",2019-10-22,"8:00p","New Orleans Pelicans","122","Toronto Raptors","130","Box Score","OT","20,787","Scotiabank Arena",""
"201910230BRK","2020",2019-10-23,"7:30p","Minnesota Timberwolves","127","Brooklyn Nets","126","Box Score","OT","17,732","Barclays Center",""
"201910230CHO","2020",2019-10-23,"7:00p","Chicago Bulls","125","Charlotte Hornets","126","Box Score","","15,424","Spectrum Center",""
"201910230DAL","2020",2019-10-23,"8:30p","Washington Wizards","100","Dallas Mavericks","108","Box Score","","19,816","American Airlines Center",""
"201910230IND","2020",2019-10-23,"7:00p","Detroit Pistons","119","Indiana Pacers","110","Box Score","","17,923","Bankers Life Fieldhouse",""
"201910230MIA","2020",2019-10-23,"7:30p","Memphis Grizzlies","101","Miami Heat","120","Box Score","","19,600","AmericanAirlines Arena",""
"201910230ORL","2020",2019-10-23,"7:00p","Cleveland Cavaliers","85","Orlando Magic","94","Box Score","","18,846","Amway Center",""
"201910230PHI","2020",2019-10-23,"7:30p","Boston Celtics","93","Philadelphia 76ers","107","Box Score","","20,422","Wells Fargo Center",""
"201910230PHO","2020",2019-10-23,"10:00p","Sacramento Kings","95","Phoenix Suns","124","Box Score","","18,055","Talking Stick Resort Arena",""
"201910230POR","2020",2019-10-23,"10:00p","Denver Nuggets","108","Portland Trail Blazers","100","Box Score","","19,991","Moda Center",""
"201910230SAS","2020",2019-10-23,"8:30p","New York Knicks","111","San Antonio Spurs","120","Box Score","","18,354","AT&T Center",""
"201910230UTA","2020",2019-10-23,"9:00p","Oklahoma City Thunder","95","Utah Jazz","100","Box Score","","18,306","Vivint Smart Home Arena",""
"201910240DET","2020",2019-10-24,"7:00p","Atlanta Hawks","117","Detroit Pistons","100","Box Score","","20,338","Little Caesars Arena",""
"201910240GSW","2020",2019-10-24,"10:30p","Los Angeles Clippers","141","Golden State Warriors","122","Box Score","","18,064","Chase Center",""
"201910240HOU","2020",2019-10-24,"8:00p","Milwaukee Bucks","117","Houston Rockets","111","Box Score","","18,055","Toyota Center",""
"201910250BOS","2020",2019-10-25,"7:00p","Toronto Raptors","106","Boston Celtics","112","Box Score","","18,624","TD Garden",""
"201910250BRK","2020",2019-10-25,"7:30p","New York Knicks","109","Brooklyn Nets","113","Box Score","","17,732","Barclays Center",""
"201910250CHO","2020",2019-10-25,"7:00p","Minnesota Timberwolves","121","Charlotte Hornets","99","Box Score","","14,879","Spectrum Center",""
