"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"201710170CLE","2018",2017-10-17,"8:01p","Boston Celtics","99","Cleveland Cavaliers","102","Box Score","","20,562","Quicken Loans Arena",""
"201710170GSW","2018",2017-10-17,"10:30p","Houston Rockets","122","Golden State Warriors","121","Box Score","","19,596","Oracle Arena",""
"201710180BOS","2018",2017-10-18,"7:30p","Milwaukee Bucks","108","Boston Celtics","100","Box Score","","18,624","TD Garden",""
"201710180DAL","2018",2017-10-18,"8:30p","Atlanta Hawks","117","Dallas Mavericks","111","Box Score","","19,709","American Airlines Center",""
"201710180DET","2018",2017-10-18,"7:00p","Charlotte Hornets","90","Detroit Pistons","102","Box Score","","20,491","Little Caesars Arena",""
"201710180IND","2018",2017-10-18,"7:00p","Brooklyn Nets","131","Indiana Pacers","140","Box Score","","15,008","Bankers Life Fieldhouse",""
"201710180MEM","2018",2017-10-18,"8:00p","New Orleans Pelicans","91","Memphis Grizzlies","103","Box Score","","17,794","FedEx Forum",""
"201710180ORL","2018",2017-10-18,"7:00p","Miami Heat","109","Orlando Magic","116","Box Score","","18,846","Amway Center",""
"201710180PHO","2018",2017-10-18,"10:00p","Portland Trail Blazers","124","Phoenix Suns","76","Box Score","","18,055","Talking Stick Resort Arena",""
"201710180SAC","2018",2017-10-18,"10:00p","Houston Rockets","105","Sacramento Kings","100","Box Score","","17,583","Golden 1 Center",""
"201710180SAS","2018",2017-10-18,"9:30p","Minnesota Timberwolves","99","San Antonio Spurs","107","Box Score","","18,418","AT&T Center",""
"201710180UTA","2018",2017-10-18,"9:00p","Denver Nuggets","96","Utah Jazz","106","Box Score","","17,588","Vivint Smart Home Arena",""
"201710180WAS","2018",2017-10-18,"7:00p","Philadelphia 76ers","115","Washington Wizards","120","Box Score","","20,356","Capital One Arena",""
"201710190LAL","2018",2017-10-19,"10:30p","Los Angeles Clippers","108","Los Angeles Lakers","92","Box Score","","18,997","STAPLES Center",""
"201710190OKC","2018",2017-10-19,"8:00p","New York Knicks","84","Oklahoma City Thunder","105","Box Score","","18,203","Chesapeake Energy Arena",""
"201710190TOR","2018",2017-10-19,"7:30p","Chicago Bulls","100","Toronto Raptors","117","Box Score","","19,800","Air Canada Centre",""
"201710200BRK","2018",2017-10-20,"7:30p","Orlando Magic","121","Brooklyn Nets","126","Box Score","","16,144","Barclays Center",""
"201710200CHO","2018",2017-10-20,"7:00p","Atlanta Hawks","91","Charlotte Hornets","109","Box Score","","18,417","Spectrum Center",""
"201710200DAL","2018",2017-10-20,"8:30p","Sacramento Kings","93","Dallas Mavericks","88","Box Score","","19,273","American Airlines Center",""
"201710200IND","2018",2017-10-20,"7:00p","Portland Trail Blazers","114","Indiana Pacers","96","Box Score","","15,325","Bankers Life Fieldhouse",""
