player_id,player_name,player_archetype
1,Jeff,Jeff
2,David,David
3,Green,Bot
4,Yellow,Bot
5,Brent,Brent
6,Paiger,Random
7,Thumperbot,Random
8,Andrew,Andrew
9,Blue Jeff,Jeff
10,Red Jeff,Jeff
