"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Abilene Christian",70.0679,72,69.5083,66,95.6706,346,97.6872,330,100.773,57,102.37,91,-4.68299,222
"2025","Air Force",64.6651,335,64.5383,325,95.3082,347,98.9084,315,113.105,335,111.769,273,-12.8609,311
"2025","Akron",72.5396,12,71.5372,15,114.868,29,113.586,71,105.141,155,107.099,181,6.48669,100
"2025","Alabama",76.1681,1,75.1903,1,119.235,8,127.44,4,105.922,169,96.4855,27,30.9547,6
"2025","Alabama A&M",71.8121,21,71.1153,22,94.8255,352,92.2482,361,109.965,275,115.639,334,-23.3909,360
"2025","Alabama St.",69.0935,115,68.0118,139,103.535,238,101.51,271,104.421,132,110.396,246,-8.88555,269
"2025","Albany",68.3589,162,67.595,163,106.374,170,103.345,235,107.778,217,112.488,289,-9.14284,275
"2025","Alcorn St.",66.2947,270,64.7836,317,98.3786,325,97.828,328,108.655,240,112.338,282,-14.5105,325
"2025","American",63.706,356,63.6859,349,104.782,208,102.578,248,105.745,166,109.15,223,-6.57184,247
"2025","Appalachian St.",63.822,354,63.2457,351,102.956,254,101.277,277,100.587,54,101.691,80,-0.414416,169
"2025","Arizona",70.4796,52,70.2411,49,116.081,19,123.598,12,103.369,101,97.352,36,26.246,13
"2025","Arizona St.",69.9259,79,68.4894,114,104.136,225,112.507,81,107.936,223,101.341,73,11.1656,72
"2025","Arkansas",70.3091,56,69.3218,69,108.157,133,114.457,63,100.989,62,95.0517,17,19.4049,36
"2025","Arkansas Pine Bluff",72.5224,14,71.468,16,96.803,338,95.2744,348,117.868,356,121.224,359,-25.9497,363
"2025","Arkansas St.",70.2489,61,70.0734,51,111.263,69,111.463,93,99.8018,38,102.261,89,9.20187,84
"2025","Army",67.6368,195,67.9019,145,103.338,246,100.265,295,110.342,285,113.864,310,-13.5998,317
"2025","Auburn",68.9561,126,67.8817,147,120.784,5,128.299,3,100.439,49,93.1874,11,35.1119,4
"2025","Austin Peay",66.9383,235,66.1937,245,103.528,240,101.781,261,111.909,313,111.443,264,-9.66269,280
