"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.934,152,67.8833,149,98.2806,341,101.078,312,106.582,124,107.681,140,-6.60288,245
"2026","Air Force",67.3965,227,66.3419,242,91.3003,363,95.6904,352,118.661,352,115.54,301,-19.8493,345
"2026","Akron",71.0424,52,70.232,38,121.522,7,118.788,53,105.618,100,106.792,124,11.9953,70
"2026","Alabama",74.4661,5,73.1725,4,122.196,5,129.254,3,110.713,236,103.045,65,26.209,18
"2026","Alabama A&M",67.2989,231,65.4037,289,105.677,237,104.039,271,109.368,205,116.623,314,-12.5832,304
"2026","Alabama St.",71.2573,42,69.5712,71,100.207,323,99.2733,336,109.075,197,113.569,267,-14.2955,318
"2026","Albany",65.6388,312,65.2829,296,105.064,250,103.248,282,113.107,294,118.156,332,-14.9083,323
"2026","Alcorn St.",69.424,119,67.3364,183,96.1864,354,96.4324,349,114.543,319,116.418,311,-19.9856,346
"2026","American",66.6771,258,66.7601,219,108.209,178,105.547,241,108.732,186,111.913,235,-6.36609,239
"2026","Appalachian St.",64.0742,354,63.0654,358,107.633,192,105.852,234,104.81,84,108.187,147,-2.33475,195
"2026","Arizona",71.3623,38,69.8704,55,120.389,14,127.808,5,95.711,3,89.9937,3,37.8138,1
"2026","Arizona St.",70.6155,74,69.292,79,108.14,179,115.813,77,110.793,239,103.267,68,12.5459,65
"2026","Arkansas",72.5378,15,71.207,20,122.68,3,127.932,4,108.89,193,101.671,50,26.2614,16
"2026","Arkansas Pine Bluff",71.2183,43,68.9971,92,104.075,269,104.049,270,114.367,315,117.253,320,-13.2038,313
"2026","Arkansas St.",72.559,14,72.0425,10,111.347,113,110.575,143,106.411,116,109.299,177,1.27547,148
"2026","Army",67.2649,232,67.1652,193,103.083,286,100.051,324,115.171,327,118.565,335,-18.5145,338
"2026","Auburn",69.0558,145,67.2601,189,118.557,29,124.725,14,113.675,306,105.837,109,18.8881,39
"2026","Austin Peay",70.1198,89,69.4436,74,113.065,87,108.012,186,106.149,109,108.345,149,-0.333096,174
"2026","Ball St.",65.3444,321,63.771,343,100.083,327,98.4551,339,108.313,174,109.963,192,-11.5081,296
"2026","Baylor",69.6262,110,67.8673,154,116.367,47,123.022,25,111.773,265,106.939,126,16.0826,50
"2026","Bellarmine",66.14,289,64.7056,319,118.459,31,116.438,72,124.752,365,126.156,365,-9.71758,278
"2026","Belmont",69.969,97,68.9775,94,118.78,27,120.422,39,105.399,96,108.591,157,11.8304,71
"2026","Bethune Cookman",70.9259,57,69.1302,88,103.937,273,103.664,276,107.645,150,110.05,195,-6.38665,240
"2026","Binghamton",65.1072,331,65.3623,295,100.464,322,97.5994,343,115.158,326,123.087,361,-25.4878,359
"2026","Boise St.",66.5612,264,65.7602,273,113.481,80,117.171,66,107.186,137,103.863,76,13.3088,60
"2026","Boston College",66.331,283,66.0319,259,99.9754,328,103.674,275,104.96,88,102.698,62,0.975982,157
"2026","Boston University",63.4459,361,63.194,355,114.476,69,111.71,125,114.155,311,119.837,348,-8.12664,262
"2026","Bowling Green",70.1667,88,68.4224,124,109.23,152,107.186,209,102.681,55,105.801,107,1.38464,145
