bracket_id,season,s_curve,seed,team,region
183,2026,55,14,Wright St.,West
184,2026,56,14,Kennesaw St.,East
185,2026,57,15,Tennessee St.,East
186,2026,58,15,Idaho,West
187,2026,59,15,Furman,Midwest
188,2026,60,15,Queens,South
189,2026,61,16,Siena,South
190,2026,62,16,LIU,Midwest
191,2026,63,16,Howard,West
192,2026,64,16,Prairie View A&M,East
