"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.934,153,67.7981,149,98.2806,341,101.082,312,106.582,126,107.642,139,-6.56086,242
"2026","Air Force",67.3965,225,66.2812,238,91.3003,363,95.5989,352,118.661,352,115.549,301,-19.9503,345
"2026","Akron",71.223,44,70.2733,32,121.92,6,118.82,54,104.561,84,106.022,113,12.7986,64
"2026","Alabama",74.6151,5,73.087,4,121.979,5,129.004,3,111.035,245,103.284,67,25.7196,18
"2026","Alabama A&M",67.2989,231,65.3014,292,105.677,237,103.96,269,109.368,206,116.689,315,-12.7294,307
"2026","Alabama St.",71.2573,43,69.4812,71,100.207,323,99.2112,336,109.075,197,113.638,266,-14.4265,318
"2026","Albany",65.6388,312,65.1982,295,105.064,251,103.254,281,113.107,294,118.193,332,-14.9394,324
"2026","Alcorn St.",69.424,120,67.2283,185,96.1864,354,96.3499,349,114.543,319,116.524,313,-20.174,346
"2026","American",66.6771,258,66.6602,220,108.209,179,105.592,240,108.732,186,111.903,233,-6.31143,238
"2026","Appalachian St.",64.0742,353,62.9688,359,107.633,193,105.842,232,104.81,88,108.177,147,-2.33442,195
"2026","Arizona",71.3814,37,69.7911,54,120.103,16,127.676,5,96.1136,5,90.0201,3,37.6556,2
"2026","Arizona St.",70.6155,73,69.2167,77,108.14,181,115.75,78,110.793,238,103.227,66,12.5236,67
"2026","Arkansas",72.4168,19,70.9979,20,122.567,3,127.658,6,109.1,200,101.605,48,26.0527,15
"2026","Arkansas Pine Bluff",71.2183,45,68.8863,94,104.075,269,104.006,268,114.367,315,117.32,326,-13.3137,314
"2026","Arkansas St.",72.559,16,71.944,10,111.347,114,110.617,144,106.411,119,109.226,173,1.39096,151
"2026","Army",67.2649,234,67.0684,195,103.083,287,100.108,321,115.171,327,118.502,335,-18.394,337
"2026","Auburn",69.2045,135,67.1643,191,118.465,32,124.784,15,113.955,308,105.766,107,19.0181,38
"2026","Austin Peay",70.1198,89,69.3702,73,113.065,88,108.007,187,106.149,112,108.291,151,-0.284699,173
"2026","Ball St.",65.3444,321,63.6725,342,100.083,327,98.5677,339,108.313,174,109.876,191,-11.3081,294
"2026","Baylor",69.6262,111,67.7889,152,116.367,49,122.945,25,111.773,265,106.944,128,16.0006,49
"2026","Bellarmine",66.14,289,64.6184,320,118.459,33,116.486,72,124.752,365,126.142,365,-9.65667,278
"2026","Belmont",69.969,97,68.8935,93,118.78,29,120.667,38,105.399,100,108.407,152,12.2609,69
"2026","Bethune Cookman",70.9259,58,69.0295,88,103.937,274,103.554,276,107.645,151,110.152,196,-6.59844,243
"2026","Binghamton",65.1072,331,65.2689,294,100.464,322,97.5949,343,115.158,326,123.093,361,-25.4985,359
"2026","Boise St.",66.5612,266,65.7063,272,113.481,83,117.022,67,107.186,139,103.842,74,13.1801,62
"2026","Boston College",66.331,284,65.9462,259,99.9754,328,103.739,274,104.96,91,102.671,61,1.06781,156
"2026","Boston University",63.4459,361,63.0896,355,114.476,68,111.758,123,114.155,311,119.763,347,-8.00482,261
"2026","Bowling Green",70.1667,88,68.3233,125,109.23,153,107.249,206,102.681,55,105.742,106,1.50686,147
