team_game_id,game_id,team,toi,cf,ca,gf,ga,is_home,season
97,49,Ottawa Senators,60,64,48,6,1,1,2324
98,49,Washington Capitals,60,48,64,1,6,0,2324
99,50,Detroit Red Wings,60,47,71,6,3,1,2324
100,50,Pittsburgh Penguins,60,71,47,3,6,0,2324
101,51,Buffalo Sabres,60,55,67,3,4,1,2324
102,51,Calgary Flames,60,67,55,4,3,0,2324
103,52,Florida Panthers,60,57,66,3,1,1,2324
104,52,Toronto Maple Leafs,60,66,57,1,3,0,2324
105,53,New York Rangers,60,60,46,1,4,1,2324
106,53,Nashville Predators,60,46,60,4,1,0,2324
107,54,Philadelphia Flyers,60,47,53,4,1,1,2324
108,54,Edmonton Oilers,60,53,47,1,4,0,2324
109,55,Tampa Bay Lightning,60,56,59,4,3,1,2324
110,55,Vancouver Canucks,60,59,56,3,4,0,2324
111,56,Minnesota Wild,60,58,50,3,7,1,2324
112,56,Los Angeles Kings,60,50,58,7,3,0,2324
113,57,St Louis Blues,60,45,69,2,6,1,2324
114,57,Arizona Coyotes,60,69,45,6,2,0,2324
115,58,Winnipeg Jets,60,70,58,3,5,1,2324
116,58,Vegas Golden Knights,60,58,70,5,3,0,2324
117,59,Anaheim Ducks,60,59,52,2,3,1,2324
118,59,Dallas Stars,60,52,59,3,2,0,2324
119,60,Seattle Kraken,60,56,72,7,4,1,2324
120,60,Carolina Hurricanes,60,72,56,4,7,0,2324
121,61,Colorado Avalanche,60,69,36,4,0,1,2324
122,61,Chicago Blackhawks,60,36,69,0,4,0,2324
123,62,San Jose Sharks,60,65,59,1,3,1,2324
124,62,Boston Bruins,60,59,65,3,1,0,2324
125,63,Columbus Blue Jackets,60,65,69,3,1,1,2324
126,63,Calgary Flames,60,69,65,1,3,0,2324
127,64,New York Islanders,62.31666667,47,74,4,5,1,2324
128,64,New Jersey Devils,62.31666667,74,47,5,4,0,2324
129,65,Ottawa Senators,60,72,45,2,5,1,2324
130,65,Detroit Red Wings,60,45,72,5,2,0,2324
131,66,Arizona Coyotes,60,61,65,2,1,1,2324
132,66,Anaheim Ducks,60,65,61,1,2,0,2324
133,67,Buffalo Sabres,60,78,47,3,1,1,2324
134,67,New York Islanders,60,47,78,1,3,0,2324
135,68,Florida Panthers,60,70,57,3,5,1,2324
136,68,Vancouver Canucks,60,57,70,5,3,0,2324
137,69,Montreal Canadiens,60.78333333,66,65,3,2,1,2324
138,69,Washington Capitals,60.78333333,65,66,2,3,0,2324
139,70,Tampa Bay Lightning,64.08333333,63,83,3,4,1,2324
140,70,Toronto Maple Leafs,64.08333333,83,63,4,3,0,2324
141,71,Chicago Blackhawks,60,52,49,3,5,1,2324
142,71,Vegas Golden Knights,60,49,52,5,3,0,2324
143,72,Dallas Stars,62.21666667,53,74,5,4,1,2324
144,72,Philadelphia Flyers,62.21666667,74,53,4,5,0,2324
145,73,Minnesota Wild,63.11666667,69,92,4,5,1,2324
146,73,Columbus Blue Jackets,63.11666667,92,69,5,4,0,2324
147,74,Nashville Predators,60,57,60,5,1,1,2324
148,74,San Jose Sharks,60,60,57,1,5,0,2324
149,75,St Louis Blues,60,45,83,4,2,1,2324
150,75,Pittsburgh Penguins,60,83,45,2,4,0,2324
151,76,Colorado Avalanche,60,52,59,6,4,1,2324
152,76,Carolina Hurricanes,60,59,52,4,6,0,2324
153,77,Edmonton Oilers,63.88333333,64,50,2,3,1,2324
154,77,Winnipeg Jets,63.88333333,50,64,3,2,0,2324
155,78,Seattle Kraken,60,50,48,1,4,1,2324
156,78,New York Rangers,60,48,50,4,1,0,2324
157,79,Los Angeles Kings,60,76,51,2,4,1,2324
158,79,Boston Bruins,60,51,76,4,2,0,2324
159,80,Detroit Red Wings,60,52,52,6,2,1,2324
160,80,Calgary Flames,60,52,52,2,6,0,2324
161,81,Anaheim Ducks,60,63,56,1,3,1,2324
162,81,Boston Bruins,60,56,63,3,1,0,2324
163,82,Buffalo Sabres,60,69,51,1,3,1,2324
164,82,Montreal Canadiens,60,51,69,3,1,0,2324
165,83,Washington Capitals,60,65,39,1,4,1,2324
166,83,Toronto Maple Leafs,60,39,65,4,1,0,2324
167,84,Columbus Blue Jackets,62.33333333,86,57,2,3,1,2324
168,84,Anaheim Ducks,62.33333333,57,86,3,2,0,2324
169,85,Ottawa Senators,60,65,43,4,6,1,2324
170,85,Buffalo Sabres,60,43,65,6,4,0,2324
171,86,Tampa Bay Lightning,60,39,64,3,0,1,2324
172,86,Carolina Hurricanes,60,64,39,0,3,0,2324
173,87,Montreal Canadiens,60,52,78,2,5,1,2324
174,87,New Jersey Devils,60,78,52,5,2,0,2324
175,88,Pittsburgh Penguins,60,74,62,1,4,1,2324
176,88,Dallas Stars,60,62,74,4,1,0,2324
177,89,Florida Panthers,60,72,49,3,1,1,2324
178,89,San Jose Sharks,60,49,72,1,3,0,2324
179,90,New York Islanders,60,58,72,4,7,1,2324
180,90,Colorado Avalanche,60,72,58,7,4,0,2324
181,91,Detroit Red Wings,64.91666667,58,82,4,5,1,2324
182,91,Seattle Kraken,64.91666667,82,58,5,4,0,2324
183,92,Chicago Blackhawks,60,45,66,0,3,1,2324
184,92,Boston Bruins,60,66,45,3,0,0,2324
185,93,Winnipeg Jets,60,59,39,4,2,1,2324
186,93,St Louis Blues,60,39,59,2,4,0,2324
187,94,Minnesota Wild,60,57,59,7,4,1,2324
188,94,Edmonton Oilers,60,59,57,4,7,0,2324
189,95,Nashville Predators,60,43,64,2,3,1,2324
190,95,Vancouver Canucks,60,64,43,3,2,0,2324
191,96,Calgary Flames,60,65,39,1,3,1,2324
192,96,New York Rangers,60,39,65,3,1,0,2324
193,97,Los Angeles Kings,60,52,48,6,3,1,2324
194,97,Arizona Coyotes,60,48,52,3,6,0,2324
195,98,Vegas Golden Knights,60,67,58,3,2,1,2324
196,98,Philadelphia Flyers,60,58,67,2,3,0,2324
197,99,New Jersey Devils,60,58,51,4,6,1,2324
198,99,Washington Capitals,60,51,58,6,4,0,2324
199,100,Boston Bruins,62.13333333,57,60,3,4,1,2324
200,100,Anaheim Ducks,62.13333333,60,57,4,3,0,2324
201,101,Carolina Hurricanes,64.83333333,87,45,3,2,1,2324
202,101,Seattle Kraken,64.83333333,45,87,2,3,0,2324
203,102,Detroit Red Wings,60,68,57,1,4,1,2324
204,102,Winnipeg Jets,60,57,68,4,1,0,2324
205,103,Montreal Canadiens,64.28333333,71,72,4,3,1,2324
206,103,Columbus Blue Jackets,64.28333333,72,71,3,4,0,2324
207,104,Philadelphia Flyers,60,59,63,6,2,1,2324
208,104,Minnesota Wild,60,63,59,2,6,0,2324
209,105,Pittsburgh Penguins,60,48,64,4,0,1,2324
210,105,Colorado Avalanche,60,64,48,0,4,0,2324
211,106,Tampa Bay Lightning,60,77,41,6,0,1,2324
212,106,San Jose Sharks,60,41,77,0,6,0,2324
213,107,New York Islanders,60,64,76,3,2,1,2324
214,107,Ottawa Senators,60,76,64,2,3,0,2324
215,108,Dallas Stars,60,73,55,1,4,1,2324
216,108,Toronto Maple Leafs,60,55,73,4,1,0,2324
217,109,Calgary Flames,60,57,57,0,3,1,2324
218,109,St Louis Blues,60,57,57,3,0,0,2324
219,110,Edmonton Oilers,60,66,58,0,3,1,2324
220,110,New York Rangers,60,58,66,3,0,0,2324
221,111,Vegas Golden Knights,62.83333333,49,57,3,4,1,2324
222,111,Chicago Blackhawks,62.83333333,57,49,4,3,0,2324
223,112,Carolina Hurricanes,60,88,44,3,0,1,2324
224,112,San Jose Sharks,60,44,88,0,3,0,2324
225,113,New Jersey Devils,60,69,53,5,4,1,2324
226,113,Buffalo Sabres,60,53,69,4,5,0,2324
227,114,Washington Capitals,65,56,71,2,2,1,2324
228,114,Minnesota Wild,65,71,56,2,2,0,2324
229,115,Arizona Coyotes,60,39,77,4,5,1,2324
