replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;loss;SELECAO;KARMINE CORP;MayKinhoo;4284;Fennec;112;0;0;0;2;9;4;0;0;404;48.39;2354;1778;576;22;51;394;200;194;2;17;24.47;65.79;155;348;0;1506;499254;172.52;48.68;118.93;33.56;62.95;17.76;194.56;54.9;134.42;37.93;25.42;7.17;7;0.1;71;124.5;35.17;122.4;34.58;110.59;31.2;243.81;68.8;110.59;31.2;222.46;62.77;131.94;37.23;167.72;47.33;120.68;34.05;66;18.62;3026;2855;3227;3780;2;0
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;loss;SELECAO;KARMINE CORP;rust ez95;23;Octane;100;0;0;0;0;9;4;4;0;445;45.98;2375;1465;910;18;74;400;190;210;3;19;40.91;21.69;387;350;120;1577;509792;153.11;44.34;133.4;38.63;58.81;17.03;178.93;51.82;131.44;38.06;34.94;10.12;9.82;0.08;118;124.5;35.17;94.4;26.67;75.22;21.78;270.09;78.22;75.22;21.78;255.79;74.07;89.53;25.93;176.1;51;124.2;35.97;45.02;13.04;2707;2509;2831;3815;1;3
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;loss;SAVE THE GAME;GEEKAY ESPORTS;Extra;4284;Fennec;383;0;0;3;3;13;2;2;0;452;49.53;3370;2349;1021;28;89;1084;796;288;9;25;56.54;34.5;419;482;103;1508;680383;220.53;47.32;179.16;38.45;66.32;14.23;261.15;56.04;176.44;37.86;28.42;6.1;9.49;0.1;91;111.4;23.6;188.2;39.87;173.81;37.3;292.19;62.7;173.81;37.3;307.94;66.08;158.06;33.92;234.91;50.41;129.01;27.69;102.07;21.9;2524;2368;2673;3401;4;2
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;loss;SAVE THE GAME;GEEKAY ESPORTS;AztraL;23;Octane;595;1;0;4;1;13;2;0;100;377;43.27;2945;1984;961;22;89;609;349;260;4;23;55.68;58.7;202;272;65;1491;672417;222.67;47.77;183.74;39.42;59.72;12.81;236.81;50.8;193.03;41.41;36.3;7.79;11.19;0.1;109;193.8;41.06;119.4;25.3;109.17;23.42;356.97;76.58;109.17;23.42;342.65;73.51;123.49;26.49;265.88;57.04;132.9;28.51;67.37;14.45;2697;2543;2868;3407;3;1
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;loss;SAVE THE GAME;GEEKAY ESPORTS;mtzR.;4284;Fennec;417;0;0;3;4;13;2;0;0;316;46.78;2601;1477;1124;17;92;500;199;301;2;26;44.13;33.8;236;223;0;1453;663863;246.03;52.12;162.06;34.33;63.97;13.55;230.76;48.88;198.06;41.96;43.25;9.16;9.54;0.11;87;154.7;32.78;146.4;31.02;134.14;28.42;337.92;71.58;134.14;28.42;330.35;69.98;141.71;30.02;253.63;53.73;136.63;28.94;81.8;17.33;2374;2193;2530;3358;2;0
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;win;GEEKAY ESPORTS;SAVE THE GAME;Archie;23;Octane;418;1;0;1;6;8;1;0;16.67;400;56.32;3200;2158;1042;30;85;763;445;318;6;28;50.08;73.04;504;901;166;1492;674112;227.43;48.71;162.64;34.84;76.8;16.45;274.14;58.72;160.71;34.42;32.01;6.86;10.17;0.15;70;170;36.02;151.4;32.08;117.52;25.17;349.35;74.83;117.52;25.17;262.47;56.22;204.4;43.78;178.33;38.2;163.63;35.05;124.91;26.75;2861;2739;2936;3723;0;2
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;win;GEEKAY ESPORTS;SAVE THE GAME;Joyo;4284;Fennec;556;1;0;4;4;8;1;1;25;405;51.12;3026;2010;1016;25;94;1198;805;393;9;35;28.18;66.11;402;487;105;1454;636881;242.04;53.49;162.06;35.81;48.41;10.7;261.92;57.88;168.52;37.24;22.07;4.88;12.73;0.11;116;173.8;36.82;147.7;31.29;117.53;25.97;334.99;74.03;117.53;25.97;270.96;59.88;181.55;40.12;183.63;40.58;157.82;34.88;111.06;24.54;2960;2712;3194;3609;2;6
e20606f8-aec8-494d-b101-b9482bc6989f;5235;DFH Stadium;2025-01-10 15:22:22;win;GEEKAY ESPORTS;SAVE THE GAME;oaly.;4284;Fennec;278;0;2;0;3;8;1;0;0;421;46.73;3157;1961;1196;26;107;930;428;502;6;44;65.23;33.92;374;564;88;1537;698057;213.2;45.46;199.52;42.54;56.29;12;269.89;57.54;152.36;32.48;46.77;9.97;9.86;0.1;97;133.6;28.31;157;33.26;136.28;29.06;332.74;70.94;136.28;29.06;257.97;55;211.05;45;165.84;35.36;183.5;39.12;119.68;25.52;2761;2496;2993;3641;1;1
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;win;KARMINE CORP;SELECAO;Atow.;4284;Fennec;454;0;1;2;6;7;0;0;0;440;49.06;2370;1364;1006;17;88;565;305;260;4;25;26.05;35.46;330;421;131;1658;522459;117.78;36.02;145.43;44.48;63.73;19.49;178.18;54.5;126.5;38.69;22.26;6.81;6.91;0.1;68;105.5;32.07;117.1;35.59;103.21;31.57;223.73;68.43;103.21;31.57;204.82;62.65;122.12;37.35;163.8;50.1;83.15;25.43;79.99;24.47;2535;2444;2627;3476;2;1
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;win;KARMINE CORP;SELECAO;dralii;4284;Fennec;386;0;1;3;3;7;0;0;0;477;53.64;2679;1923;756;25;67;794;510;284;7;25;43.25;29.71;344;516;100;1647;519824;124.38;38.04;124.36;38.04;78.19;23.92;153.97;47.1;145.88;44.62;27.08;8.28;7.05;0.1;74;92.8;28.21;115.2;35.02;99.51;30.44;227.41;69.56;99.51;30.44;208.42;63.75;118.51;36.25;147.79;45.21;113.95;34.85;65.19;19.94;2448;2238;2696;3586;0;1
