team_id,season_id,team,franchise,league
541,5,Philadelphia Eagles,Philadelphia Eagles,NFL
542,5,Philadelphia Flyers,Philadelphia Flyers,NHL
543,5,Phoenix Suns,Phoenix Suns,NBA
544,5,Pittsburgh Penguins,Pittsburgh Penguins,NHL
545,5,Pittsburgh Steelers,Pittsburgh Steelers,NFL
546,5,Portland Trail Blazers,Portland Trail Blazers,NBA
547,5,Sacramento Kings,Sacramento Kings,NBA
548,5,San Antonio Spurs,San Antonio Spurs,NBA
549,5,San Francisco 49ers,San Francisco 49ers,NFL
550,5,San Jose Sharks,San Jose Sharks,NHL
551,5,Seattle Kraken,Seattle Kraken,NHL
552,5,Seattle Seahawks,Seattle Seahawks,NFL
553,5,St. Louis Blues,St. Louis Blues,NHL
554,5,Sunderland,Sunderland,EPL
555,5,Tampa Bay Buccaneers,Tampa Bay Buccaneers,NFL
556,5,Tampa Bay Lightning,Tampa Bay Lightning,NHL
557,5,Tennessee Titans,Tennessee Titans,NFL
558,5,Toronto Maple Leafs,Toronto Maple Leafs,NHL
559,5,Toronto Raptors,Toronto Raptors,NBA
560,5,Tottenham,Tottenham,EPL
561,5,Utah Jazz,Utah Jazz,NBA
562,5,Utah Mammoth,Utah Mammoth,NHL
563,5,Vancouver Canucks,Vancouver Canucks,NHL
564,5,Vegas Golden Knights,Vegas Golden Knights,NHL
565,5,Washington Capitals,Washington Capitals,NHL
566,5,Washington Commanders,Washington Commanders,NFL
567,5,Washington Wizards,Washington Wizards,NBA
568,5,West Ham,West Ham,EPL
569,5,Winnipeg Jets,Winnipeg Jets,NHL
570,5,Wolves,Wolves,EPL
