week,date,home,away,home_win,draw,away_win,completed
1,8/11/23,Burnley,Manchester City,0,0,1,1
1,8/12/23,Newcastle United,Aston Villa,1,0,0,1
1,8/12/23,Bournemouth,West Ham,0,1,0,1
1,8/12/23,Brighton,Luton Town,1,0,0,1
1,8/12/23,Sheffield United,Crystal Palace,0,0,1,1
1,8/12/23,Everton,Fulham,0,0,1,1
1,8/12/23,Arsenal,Nottingham Forest,1,0,0,1
1,8/13/23,Chelsea,Liverpool,0,1,0,1
1,8/13/23,Brentford,Tottenham,0,1,0,1
1,8/14/23,Manchester United,Wolverhampton,1,0,0,1
2,8/18/23,Nottingham Forest,Sheffield United,1,0,0,1
2,8/19/23,Manchester City,Newcastle United,1,0,0,1
2,8/19/23,Tottenham,Manchester United,1,0,0,1
2,8/19/23,Wolverhampton,Brighton,0,0,1,1
2,8/19/23,Liverpool,Bournemouth,1,0,0,1
2,8/19/23,Luton Town,Burnley,0,0,0,0
2,8/19/23,Fulham,Brentford,0,0,1,1
2,8/20/23,West Ham,Chelsea,1,0,0,1
2,8/20/23,Aston Villa,Everton,1,0,0,1
2,8/21/23,Crystal Palace,Arsenal,0,0,1,1
3,8/25/23,Chelsea,Luton Town,1,0,0,1
3,8/26/23,Brighton,West Ham,0,0,1,1
3,8/26/23,Arsenal,Fulham,0,1,0,1
3,8/26/23,Manchester United,Nottingham Forest,1,0,0,1
3,8/26/23,Brentford,Crystal Palace,0,1,0,1
3,8/26/23,Everton,Wolverhampton,0,0,1,1
3,8/26/23,Bournemouth,Tottenham,0,0,1,1
3,8/27/23,Newcastle United,Liverpool,0,0,1,1
3,8/27/23,Burnley,Aston Villa,0,0,1,1
3,8/27/23,Sheffield United,Manchester City,0,0,1,1
4,9/1/23,Luton Town,West Ham,0,0,1,1
4,9/2/23,Brighton,Newcastle United,1,0,0,1
4,9/2/23,Burnley,Tottenham,0,0,1,1
4,9/2/23,Brentford,Bournemouth,0,1,0,1
4,9/2/23,Manchester City,Fulham,1,0,0,1
4,9/2/23,Chelsea,Nottingham Forest,0,0,1,1
4,9/2/23,Sheffield United,Everton,0,1,0,1
4,9/3/23,Arsenal,Manchester United,1,0,0,1
4,9/3/23,Crystal Palace,Wolverhampton,1,0,0,1
4,9/3/23,Liverpool,Aston Villa,1,0,0,1
5,9/17/23,Everton,Arsenal,0,0,1,1
5,9/16/23,Tottenham,Sheffield United,1,0,0,1
5,9/16/23,Manchester United,Brighton,0,0,1,1
5,9/16/23,Aston Villa,Crystal Palace,1,0,0,1
5,9/16/23,West Ham,Manchester City,0,0,1,1
5,9/16/23,Fulham,Luton Town,1,0,0,1
5,9/16/23,Wolverhampton,Liverpool,0,0,1,1
5,9/16/23,Newcastle United,Brentford,1,0,0,1
5,9/17/23,Bournemouth,Chelsea,0,1,0,1
5,9/18/23,Nottingham Forest,Burnley,0,1,0,1
6,9/23/23,Burnley,Manchester United,0,0,1,1
6,9/23/23,Brentford,Everton,0,0,1,1
6,9/23/23,Crystal Palace,Fulham,0,1,0,1
6,9/23/23,Chelsea,Aston Villa,0,0,1,1
6,9/23/23,Luton Town,Wolverhampton,0,1,0,1
6,9/23/23,Manchester City,Nottingham Forest,1,0,0,1
6,9/24/23,Sheffield United,Newcastle United,0,0,1,1
6,9/24/23,Liverpool,West Ham,1,0,0,1
6,9/24/23,Brighton,Bournemouth,1,0,0,1
6,9/24/23,Arsenal,Tottenham,0,1,0,1
7,9/30/23,Tottenham,Liverpool,1,0,0,1
7,9/30/23,Manchester United,Crystal Palace,0,0,1,1
7,9/30/23,West Ham,Sheffield United,1,0,0,1
7,9/30/23,Newcastle United,Burnley,1,0,0,1
7,9/30/23,Everton,Luton Town,0,0,1,1
7,9/30/23,Bournemouth,Arsenal,0,0,1,1
7,9/30/23,Wolverhampton,Manchester City,1,0,0,1
7,9/30/23,Aston Villa,Brighton,1,0,0,1
7,10/1/23,Nottingham Forest,Brentford,0,1,0,1
7,10/2/23,Fulham,Chelsea,0,0,1,1
8,10/7/23,Crystal Palace,Nottingham Forest,0,1,0,1
8,10/7/23,Fulham,Sheffield United,1,0,0,1
8,10/7/23,Burnley,Chelsea,0,0,1,1
8,10/7/23,Manchester United,Brentford,1,0,0,1
8,10/7/23,Everton,Bournemouth,1,0,0,1
8,10/7/23,Wolverhampton,Aston Villa,0,1,0,1
8,10/7/23,Luton Town,Tottenham,0,0,1,1
8,10/8/23,Arsenal,Manchester City,1,0,0,1
